,cluster-count,etcdetcdDBSizeMB,KubeAPIMemUsageWSSGB,OtherMemUsageWSSGB,ACMObsMemUsageWSSGB,ACMOthMemUsageWSSGB,ClusterMemUsageGB,KubeAPICPUCoreUsage,OtherCPUCoreUsage,ACMObsCPUCoreUsage,ACMOthCPUCoreUsage,ClusterCPUCoreUsage,ClusterCPUUsage,TimeSeriesCount
0,1,492.1328125,15.842926025390623,29.34503173828125,2.2241287231445312,4.217647552490234,98.01434707641602,2.005463214633332,4.955723387133332,0.0871759686666666,1.0621609824333338,7.125632330566662,7.125632330566662,12085.333333333334
1,501,4765.73046875,44.04139709472656,71.18462371826172,26.002498626708984,12.360477447509766,198.05709075927732,27.16271260173339,18.65994625843336,6.976063185800063,6.028076940633325,51.07151358270013,51.07151358270013,1774576.3333333333
2,1001,6968.1484375,70.52230072021484,85.19108963012695,53.609004974365234,21.79844665527344,265.9632606506348,41.66679381326664,24.313305729200277,10.258325255199992,6.897012383933342,78.65924376042567,78.65924376042567,3704550.6666666665
3,1501,8657.40625,95.48777770996094,100.63820266723631,79.5390739440918,27.120925903320312,329.88795471191406,29.25420710919963,32.24063055553329,14.904547408231345,14.223815767100152,84.91637265793332,84.91637265793332,5483343.666666667
4,2001,10417.03515625,116.93234634399414,117.0196304321289,110.82761001586914,33.914573669433594,391.35470962524414,38.87129285394387,37.77476285046641,23.44756356173185,10.326684780266447,104.1218786384974,104.1218786384974,7229043.333333333
5,2501,12133.24609375,130.56127166748047,132.69063186645508,136.74462127685547,39.27643966674805,441.1122970581055,46.19407146426524,44.63112907595056,24.73048726966695,11.97599778426638,116.91064341853398,116.91064341853398,9022662.333333334
6,3001,14056.96875,142.83692932128906,147.66537857055664,165.513916015625,44.79194641113281,482.62852478027344,44.892959929368416,44.09589198460228,31.291865299771302,11.213242929566704,126.47945326512964,126.47945326512964,10816086.0
7,3501,15887.3671875,160.5207481384277,163.74142456054688,196.5025291442871,52.53805923461914,535.8321228027344,44.99877231846864,45.60357958519917,36.8874403712758,12.34907498766698,130.97372782030735,130.97372782030735,12617272.0
8,3619,16190.859375,162.3491439819336,184.5118560791016,217.5500259399414,53.20711135864258,549.8575019836426,43.22354739793362,48.597584199227015,37.38314200196443,10.98301181634302,117.93869312134552,117.93869312134552,13062058.666666666
